15	10	E	-6210697.752156192	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	3.497779807316632E-149
probinit	7	0.0
probinit	8	0.0
probinit	9	7.421256387051854E-251
probinit	10	0.08688023987526555
probinit	11	5.2961967047781885E-250
probinit	12	0.0
probinit	13	1.2008976954457269E-276
probinit	14	0.9131197601247344
probinit	15	1.6126028193032585E-168
transitionprobs	1	1	0.8477441288664256
transitionprobs	1	2	0.06427968294358875
transitionprobs	1	3	0.010863236095676458
transitionprobs	1	4	0.0012465690307677595
transitionprobs	1	5	0.0
transitionprobs	1	6	0.004878993948395178
transitionprobs	1	7	0.0
transitionprobs	1	8	6.845112850374172E-5
transitionprobs	1	9	0.0
transitionprobs	1	10	0.03272266195244062
transitionprobs	1	11	4.806937699741861E-5
transitionprobs	1	12	7.549712072376582E-5
transitionprobs	1	13	7.946972182023455E-4
transitionprobs	1	14	0.032527858247748336
transitionprobs	1	15	0.0047501540705299624
transitionprobs	2	1	0.20216556905701458
transitionprobs	2	2	0.5550453217152257
transitionprobs	2	3	0.2059927461559717
transitionprobs	2	4	0.007515831965738352
transitionprobs	2	5	0.0
transitionprobs	2	6	0.01483836349822387
transitionprobs	2	7	0.0
transitionprobs	2	8	3.203921669085606E-4
transitionprobs	2	9	0.0
transitionprobs	2	10	0.004124717349801933
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	0.004917961530642512
transitionprobs	2	15	0.005079096560472658
transitionprobs	3	1	0.03267590057414464
transitionprobs	3	2	0.19082646528695663
transitionprobs	3	3	0.6774963084836128
transitionprobs	3	4	0.06903143531924451
transitionprobs	3	5	0.0
transitionprobs	3	6	0.025970435479262442
transitionprobs	3	7	0.0010029046335893054
transitionprobs	3	8	6.537516107036172E-5
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	0.0029311750621194553
transitionprobs	3	15	0.0
transitionprobs	4	1	0.0017273520362086812
transitionprobs	4	2	0.0034361951903560985
transitionprobs	4	3	0.029251674930626366
transitionprobs	4	4	0.6337526911775723
transitionprobs	4	5	0.0738774402478232
transitionprobs	4	6	0.20894254292653724
transitionprobs	4	7	0.00990753845560616
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0013235907904975898
transitionprobs	4	10	0.020255058558245727
transitionprobs	4	11	2.5638211408022615E-4
transitionprobs	4	12	2.0251316630020937E-4
transitionprobs	4	13	4.395633483804096E-4
transitionprobs	4	14	0.016625265516910678
transitionprobs	4	15	2.1915408550956857E-6
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0
transitionprobs	5	3	0.0
transitionprobs	5	4	0.08812229049036377
transitionprobs	5	5	0.7553075897625527
transitionprobs	5	6	0.08583285722073387
transitionprobs	5	7	0.070565434043209
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0
transitionprobs	5	10	0.0
transitionprobs	5	11	0.0
transitionprobs	5	12	1.7181365451140887E-4
transitionprobs	5	13	0.0
transitionprobs	5	14	0.0
transitionprobs	5	15	1.4828629114290661E-8
transitionprobs	6	1	0.0032356839923916975
transitionprobs	6	2	0.0032041908569439776
transitionprobs	6	3	0.005858648249124087
transitionprobs	6	4	0.1184546058870935
transitionprobs	6	5	0.037362535246366645
transitionprobs	6	6	0.5034369390922591
transitionprobs	6	7	0.004916024415093138
transitionprobs	6	8	0.001952763006497549
transitionprobs	6	9	0.014102809225228597
transitionprobs	6	10	0.06528170136534196
transitionprobs	6	11	0.0018193869274276816
transitionprobs	6	12	2.1041575323360525E-4
transitionprobs	6	13	0.0018518876242359
transitionprobs	6	14	0.09363490813225556
transitionprobs	6	15	0.14467750022650697
transitionprobs	7	1	0.0
transitionprobs	7	2	1.8327908133114033E-5
transitionprobs	7	3	8.718850573204322E-4
transitionprobs	7	4	0.017260899721465345
transitionprobs	7	5	0.08690719502869554
transitionprobs	7	6	0.01350771928199262
transitionprobs	7	7	0.7148455899045131
transitionprobs	7	8	0.1328627435688598
transitionprobs	7	9	0.02781768668975329
transitionprobs	7	10	0.0
transitionprobs	7	11	0.005678178811694352
transitionprobs	7	12	8.878674852294535E-5
transitionprobs	7	13	0.0
transitionprobs	7	14	0.0
transitionprobs	7	15	1.409872790495595E-4
transitionprobs	8	1	0.0
transitionprobs	8	2	4.608606716036863E-5
transitionprobs	8	3	1.313281227153911E-5
transitionprobs	8	4	0.0
